Motor 1,Motor 2,Motor 3,X,Y,Z
4,1,7,14.004,-0.026,-280.838
4,2,7,11.705,-1.369,-281.538
4,3,7,9.392,-2.721,-282.215
4,4,7,7.065,-4.079,-282.868
4,5,7,4.724,-5.445,-283.496
5,0,7,16.316,4.008,-280.684
5,1,7,14.028,2.676,-281.422
5,2,7,11.726,1.336,-282.137
5,3,7,9.409,-0.013,-282.829
5,4,7,7.077,-1.369,-283.496
5,5,7,4.732,-2.732,-284.139
0,7,1,-13.894,-10.678,-278.259
0,7,2,-11.614,-12.033,-278.901
0,7,3,-9.319,-13.393,-279.519
0,7,4,-7.01,-14.761,-280.114
0,7,5,-4.687,-16.134,-280.684
1,7,0,-16.195,-6.694,-278.259
1,7,1,-13.924,-8.039,-278.939
1,7,2,-11.638,-9.391,-279.596
1,7,3,-9.338,-10.749,-280.229
1,7,4,-7.024,-12.115,-280.838
1,7,5,-4.697,-13.487,-281.422
2,7,0,-16.227,-4.041,-278.901
2,7,1,-13.951,-5.383,-279.596
2,7,2,-11.661,-6.733,-280.267
2,7,3,-9.357,-8.089,-280.915
2,7,4,-7.039,-9.452,-281.538
2,7,5,-4.706,-10.822,-282.137
3,7,0,-16.258,-1.373,-279.519
3,7,1,-13.978,-2.712,-280.229
3,7,2,-11.684,-4.059,-280.915
3,7,3,-9.375,-5.413,-281.577
3,7,4,-7.052,-6.774,-282.215
3,7,5,-4.715,-8.142,-282.829
4,7,0,-16.288,1.31,-280.114
4,7,1,-14.004,-0.026,-280.838
4,7,2,-11.705,-1.369,-281.538
4,7,3,-9.392,-2.721,-282.215
4,7,4,-7.065,-4.079,-282.868
4,7,5,-4.724,-5.445,-283.496
5,7,0,-16.316,4.008,-280.684
5,7,1,-14.028,2.676,-281.422
5,7,2,-11.726,1.336,-282.137
5,7,3,-9.409,-0.013,-282.829
5,7,4,-7.077,-1.369,-283.496
5,7,5,-4.732,-2.732,-284.139
8,0,0,0,21.383,-277.995
8,0,1,2.304,20.097,-278.673
8,0,2,4.62,18.803,-279.329
8,0,3,6.95,17.499,-279.961
8,0,4,9.292,16.186,-280.569
8,0,5,11.646,14.864,-281.152
8,1,0,-2.304,20.097,-278.673
8,1,1,0,18.807,-279.367
8,1,2,2.317,17.507,-280.037
8,1,3,4.647,16.198,-280.684
8,1,4,6.99,14.88,-281.307
8,1,5,9.345,13.553,-281.905
8,2,0,-4.62,18.803,-279.329
8,2,1,-2.317,17.507,-280.037
8,2,2,0,16.202,-280.722
8,2,3,2.33,14.888,-281.384
8,2,4,4.673,13.565,-282.021
8,2,5,7.03,12.233,-282.634
8,3,0,-6.95,17.499,-279.961
8,3,1,-4.647,16.198,-280.684
8,3,2,-2.33,14.888,-281.384
8,3,3,0,13.569,-282.060
8,3,4,2.343,12.24,-282.712
8,3,5,4.7,10.904,-283.339
8,4,0,-9.292,16.186,-280.569
8,4,1,-6.99,14.88,-281.307
8,4,2,-4.673,13.565,-282.021
8,4,3,-2.343,12.24,-282.712
8,4,4,0,10.907,-283.379
8,4,5,2.357,9.566,-284.021
8,5,0,-11.646,14.864,-281.152
8,5,1,-9.345,13.553,-281.905
8,5,2,-7.03,12.233,-282.634
8,5,3,-4.7,10.904,-283.339
8,5,4,-2.357,9.566,-284.021
8,5,5,0,8.219,-284.678
0,8,0,-18.518,-10.691,-277.995
1,8,0,-18.557,-8.054,-278.673
